emissoes_ultimos_3_meses,emissoes_ultimo_mes,crescimento_emissoes,tickets_abertos_ultimos_3_meses,tickets_abertos_ultimo_mes,crescimento_tickets_abertos,atraso_fatura_ultimos_3_meses,atraso_fatura_ultimo_mes,mes,cancelamento
5169,1768,1.03,4,2,1.00,0,0,2,0
2089,725,1.04,4,2,1.00,0,0,6,0
1109,384,1.04,9,3,1.00,2,0,5,0
503,74,0.44,25,18,2.00,3,1,1,1
7581,2537,1.00,4,2,1.00,2,0,10,0
3707,1267,1.03,7,1,0.33,1,1,10,0
4279,1439,1.01,0,0,0.00,0,0,2,0
7419,2496,1.01,11,4,1.00,0,0,10,0
6310,2153,1.02,9,1,0.33,2,0,5,0
9913,3330,1.01,7,2,0.67,0,0,4,0
4165,1422,1.02,2,0,0.00,1,0,7,0
7707,2582,1.01,0,0,0.00,0,0,3,0
934,146,0.47,44,20,1.33,2,1,7,1
2018,697,1.04,0,0,0.00,1,0,6,0
7117,1374,0.58,52,27,1.50,1,1,7,1
5273,1029,0.59,26,16,1.78,2,1,6,1
1841,625,1.02,13,5,1.00,2,1,3,1
8078,2725,1.01,0,0,0.00,2,0,4,0
319,133,1.24,2,0,0.00,0,0,5,0
4321,1452,1.01,9,2,0.67,0,0,9,0
2561,887,1.04,9,2,0.67,2,0,5,1
771,299,1.16,1,0,0.00,2,0,7,0
7750,2613,1.01,4,2,1.00,0,0,4,0
6855,2323,1.02,10,3,0.75,2,1,5,0
1393,502,1.08,5,2,1.00,0,0,8,0
7976,2688,1.01,1,0,0.00,2,1,11,0
5390,1835,1.02,6,2,1.00,0,0,7,1
884,344,1.17,12,3,0.75,0,0,3,0
9946,1962,0.59,26,15,1.67,3,1,6,1
5767,1972,1.03,14,4,0.80,0,0,1,0
302,114,1.13,9,3,1.00,0,0,2,0
7787,2631,1.01,0,0,0.00,2,1,5,0
5102,978,0.57,48,20,1.25,3,1,7,1
1140,424,1.12,11,2,0.50,0,0,12,0
6307,1241,0.59,31,17,1.55,1,1,6,1
4402,1511,1.03,9,2,0.67,1,0,4,1
954,359,1.13,10,2,0.50,0,0,10,0
5472,1060,0.58,26,14,1.56,2,1,6,0
2584,908,1.05,11,2,0.50,1,0,7,0
4964,1681,1.02,13,3,0.60,0,0,2,0
2007,384,0.57,41,18,1.29,1,1,6,1
8472,1653,0.59,22,17,2.12,1,1,12,1
9875,3304,1.00,12,4,1.00,0,0,9,0
6985,1386,0.60,43,24,1.60,1,1,6,1
9256,3116,1.01,10,2,0.50,2,0,7,0
1571,300,0.57,22,15,1.88,2,0,3,1
2784,963,1.04,6,2,1.00,0,0,8,0
1342,476,1.06,12,2,0.50,0,0,5,0
2030,384,0.57,45,19,1.27,3,1,6,1
9358,1824,0.58,57,24,1.26,1,1,6,1
6380,1232,0.58,58,26,1.30,2,1,7,1
4666,1583,1.02,0,0,0.00,0,0,6,1
4726,928,0.59,52,25,1.39,2,1,6,0
3398,1166,1.03,1,0,0.00,0,0,5,0
2348,803,1.03,2,0,0.00,0,0,9,0
5882,1984,1.01,0,0,0.00,0,0,10,0
353,34,0.29,27,11,1.22,1,1,11,0
6199,2105,1.02,14,4,0.80,0,0,10,0
6602,2224,1.01,6,2,1.00,0,0,10,0
2668,916,1.03,11,2,0.50,0,0,4,1
5501,1880,1.03,7,1,0.33,2,0,8,0
7773,2632,1.02,7,2,0.67,0,0,12,0
1868,666,1.07,14,4,0.80,0,0,3,0
7777,2613,1.01,4,2,1.00,0,0,9,0
4154,803,0.58,48,18,1.12,3,1,6,1
2727,948,1.04,5,2,1.00,1,0,3,0
4514,1552,1.03,9,1,0.33,0,0,11,0
7484,2544,1.02,6,2,1.00,2,0,1,1
6049,2051,1.02,9,2,0.67,1,1,8,0
4678,910,0.58,27,13,1.44,3,1,6,1
4397,1516,1.03,14,4,0.80,1,1,2,0
4584,1572,1.03,15,5,1.00,2,0,6,0
7686,1493,0.58,17,15,2.50,3,1,11,1
819,135,0.49,27,14,1.56,2,0,8,1
6147,2076,1.01,11,4,1.00,0,0,10,0
8362,2822,1.01,8,3,1.00,1,1,10,0
8180,2737,1.00,1,0,0.00,1,0,4,0
9469,3203,1.01,10,3,0.75,2,1,7,0
2325,787,1.02,0,0,0.00,2,1,6,1
3686,1259,1.02,4,2,1.00,1,1,11,1
1524,522,1.03,1,0,0.00,1,0,4,0
9115,1785,0.59,55,27,1.42,2,1,6,1
2128,756,1.06,1,0,0.00,2,0,4,0
2035,702,1.03,15,4,0.80,1,0,2,0
8375,1639,0.59,46,17,1.06,3,1,7,1
8734,2954,1.01,9,2,0.67,0,0,5,1
9268,3103,1.00,8,3,1.00,0,0,4,0
1995,359,0.54,44,23,1.53,3,1,6,1
2610,895,1.03,7,1,0.33,0,0,10,0
2568,504,0.59,34,19,1.58,3,1,7,0
2226,779,1.05,3,1,1.00,2,0,7,0
9479,3186,1.01,11,2,0.50,0,0,3,1
5266,1048,0.60,28,19,1.90,3,1,6,1
5482,1856,1.02,4,2,1.00,0,0,4,0
995,342,1.03,3,1,1.00,0,0,3,1
5617,1899,1.01,10,3,0.75,0,0,7,0
8668,1703,0.59,34,13,1.08,3,1,6,1
2091,730,1.05,8,2,0.67,0,0,6,1
7202,2450,1.02,3,1,1.00,0,0,9,0
8615,1686,0.59,14,6,1.20,1,1,11,1
8447,2827,1.00,6,2,1.00,2,0,10,0
6813,2287,1.01,11,3,0.75,2,0,6,0
7381,2489,1.01,10,3,0.75,2,0,10,0
8520,2873,1.01,3,1,1.00,0,0,11,1
8064,2735,1.02,7,3,1.00,0,0,9,0
7736,1520,0.59,32,20,1.82,0,0,6,1
6505,2203,1.02,10,3,0.75,2,0,4,0
2999,565,0.56,27,14,1.56,2,1,5,1
8111,2750,1.02,7,3,1.00,1,0,6,0
6430,2179,1.02,10,3,0.75,0,0,3,1
1481,530,1.07,5,2,1.00,1,1,10,0
5793,1128,0.58,48,18,1.12,3,1,7,0
1647,580,1.06,10,3,0.75,1,0,12,0
3300,1111,1.01,10,4,1.00,2,0,2,0
353,167,1.42,9,3,1.00,0,0,9,0
7161,2435,1.02,0,0,0.00,0,0,1,0
1649,578,1.05,13,5,1.00,0,0,10,0
7900,2644,1.00,8,2,0.67,1,0,8,1
2172,750,1.04,3,1,1.00,0,0,9,0
6901,2333,1.01,5,2,1.00,0,0,6,1
3473,1180,1.02,11,3,0.75,0,0,3,0
6022,1187,0.59,28,18,1.80,2,0,6,1
7520,1466,0.58,29,17,1.70,2,1,7,1
6623,1288,0.58,31,17,1.55,2,1,7,1
1036,364,1.05,10,4,1.00,0,0,7,0
3332,1154,1.04,10,3,0.75,0,0,4,1
9837,3324,1.01,12,3,0.75,0,0,3,0
8188,2752,1.01,4,2,1.00,1,1,8,0
6829,2289,1.01,9,2,0.67,0,0,7,0
422,69,0.49,28,10,1.00,1,1,6,1
6995,2351,1.01,3,1,1.00,0,0,6,0
6533,1302,0.60,41,22,1.57,1,1,7,0
5480,1866,1.02,7,1,0.33,2,0,5,0
4721,929,0.59,50,23,1.35,1,0,7,1
5709,1946,1.02,8,2,0.67,2,0,1,1
9575,1871,0.59,50,26,1.53,1,0,7,1
9493,3202,1.01,4,2,1.00,2,1,2,0
9466,1860,0.59,39,15,1.15,0,0,7,1
4815,1650,1.03,9,1,0.33,2,0,9,0
4984,1690,1.02,6,2,1.00,0,0,4,0
5590,1887,1.01,14,3,0.60,0,0,12,1
8367,2834,1.02,9,1,0.33,2,1,2,0
4670,1586,1.02,10,4,1.00,2,0,9,0
6749,2275,1.01,12,4,1.00,0,0,4,0
6215,2085,1.01,13,3,0.60,0,0,2,0
4678,901,0.58,44,15,1.00,2,0,6,1
2576,880,1.02,3,1,1.00,2,0,8,0
4664,1577,1.01,0,0,0.00,0,0,4,0
7301,2484,1.02,9,2,0.67,1,0,7,0
3556,1233,1.04,6,2,1.00,0,0,12,0
5973,2027,1.02,12,3,0.75,2,0,1,0
5179,1744,1.01,4,2,1.00,0,0,2,0
7596,2574,1.02,13,3,0.60,0,0,11,0
2632,898,1.02,14,4,0.80,2,1,7,0
6908,2340,1.02,1,0,0.00,2,0,3,0
5012,997,0.60,44,21,1.40,2,1,6,1
2800,970,1.04,3,1,1.00,1,0,9,0
5451,1837,1.01,9,2,0.67,1,0,11,1
3125,592,0.57,34,14,1.17,2,0,6,1
950,344,1.09,8,3,1.00,1,1,3,0
7344,1444,0.59,48,17,1.06,0,0,7,1
8963,1772,0.59,36,22,1.83,2,1,6,1
874,145,0.50,53,24,1.33,1,1,7,0
4531,1525,1.01,14,3,0.60,0,0,1,1
7697,2600,1.01,7,2,0.67,1,0,7,0
3749,738,0.59,32,20,1.82,1,0,6,1
2291,803,1.05,8,2,0.67,0,0,3,0
7918,2679,1.01,15,3,0.60,1,0,2,0
9209,1826,0.59,33,16,1.45,0,0,6,1
1174,431,1.10,9,3,1.00,0,0,12,0
9998,3383,1.02,0,0,0.00,0,0,2,0
1812,624,1.03,8,3,1.00,0,0,2,0
4414,1484,1.01,2,0,0.00,0,0,11,0
6138,2073,1.01,5,2,1.00,0,0,4,0
7630,2557,1.01,2,0,0.00,0,0,11,0
2936,576,0.59,58,27,1.35,0,0,6,1
2060,404,0.59,41,14,1.00,3,1,6,1
5454,1866,1.03,8,1,0.33,0,0,9,0
5067,1717,1.02,12,3,0.75,0,0,9,1
2660,506,0.57,44,18,1.20,3,1,7,1
8977,3012,1.01,2,0,0.00,1,0,6,0
3262,1120,1.03,0,0,0.00,1,0,7,0
9864,3324,1.01,8,1,0.33,0,0,10,0
3849,730,0.57,48,24,1.50,2,0,7,1
3172,1090,1.03,2,0,0.00,2,1,1,0
4595,1570,1.02,2,0,0.00,0,0,2,0
7535,2537,1.01,2,0,0.00,0,0,5,1
7252,1441,0.60,25,11,1.22,3,1,7,1
8570,1704,0.60,23,13,1.62,3,1,3,1
1746,327,0.56,16,14,2.33,1,0,3,1
4210,1449,1.03,7,2,0.67,1,0,3,0
6410,2156,1.01,12,3,0.75,2,1,10,0
7718,1531,0.60,60,27,1.35,2,1,7,0
8978,3036,1.01,1,0,0.00,0,0,5,0
3475,1207,1.04,12,2,0.50,2,0,4,0
975,368,1.13,13,4,0.80,0,0,4,0
4857,1631,1.01,4,2,1.00,2,0,1,0
2851,560,0.59,50,23,1.35,2,1,7,0
9648,1907,0.59,12,8,2.00,2,1,2,1
3627,1234,1.02,5,2,1.00,0,0,6,0
7790,2630,1.01,6,2,1.00,0,0,9,0
4962,1677,1.01,6,2,1.00,0,0,3,1
6039,2032,1.01,14,5,1.00,0,0,12,0
1146,398,1.04,2,0,0.00,1,0,11,1
6228,2102,1.01,8,3,1.00,0,0,1,0
4217,802,0.57,33,17,1.55,1,1,7,1
3450,664,0.58,28,18,1.80,2,1,10,0
3669,1238,1.01,5,2,1.00,0,0,7,0
2776,960,1.04,13,3,0.60,1,0,7,0
3756,746,0.60,30,19,1.90,3,1,7,1
5682,1911,1.01,0,0,0.00,0,0,5,0
9120,3073,1.01,8,1,0.33,0,0,11,0
3499,1202,1.03,14,4,0.80,0,0,5,0
7535,2530,1.01,15,4,0.80,0,0,12,0
2579,877,1.02,1,0,0.00,0,0,3,1
9372,3173,1.02,12,2,0.50,0,0,11,0
3658,1238,1.01,5,2,1.00,2,0,5,1
3957,1355,1.03,11,2,0.50,0,0,3,0
6978,2348,1.01,14,4,0.80,2,0,12,1
5523,1866,1.01,10,3,0.75,0,0,4,0
4470,1502,1.01,15,5,1.00,0,0,5,0
9689,3260,1.01,14,3,0.60,0,0,10,1
6064,1166,0.58,25,12,1.33,3,0,7,1
1481,256,0.52,20,10,1.43,2,1,9,0
9907,1971,0.60,32,19,1.73,3,0,7,1
4081,1372,1.01,8,2,0.67,0,0,8,0
6511,1258,0.58,34,20,1.67,1,1,6,0
2978,1003,1.01,10,2,0.50,0,0,2,0
8337,2799,1.01,9,2,0.67,2,1,9,0
1009,378,1.12,10,3,0.75,0,0,1,0
7333,2471,1.01,14,4,0.80,1,0,7,1
7198,2443,1.02,8,2,0.67,0,0,4,1
8904,3015,1.02,10,3,0.75,0,0,1,0
8404,2815,1.00,2,0,0.00,0,0,6,1
3032,1025,1.01,3,1,1.00,0,0,3,0
481,205,1.27,0,0,0.00,0,0,1,0
8628,2889,1.00,14,3,0.60,0,0,8,1
5212,1768,1.02,15,3,0.60,2,0,12,0
9150,1807,0.59,60,24,1.20,3,1,7,1
1792,619,1.04,14,3,0.60,0,0,3,0
338,153,1.35,8,3,1.00,0,0,5,0
3654,1257,1.03,11,3,0.75,2,0,2,0
3712,1259,1.02,3,1,1.00,0,0,1,0
2083,724,1.04,8,2,0.67,0,0,8,0
5655,1108,0.59,29,15,1.50,3,1,7,1
6333,1258,0.60,42,16,1.14,3,1,6,1
2192,759,1.04,12,2,0.50,0,0,10,0
7380,2479,1.01,4,2,1.00,2,0,2,0
7905,2678,1.02,1,0,0.00,0,0,3,0
3185,619,0.58,44,21,1.40,3,0,7,0
4131,1405,1.02,6,2,1.00,1,0,10,0
4018,1359,1.01,0,0,0.00,0,0,8,1
5058,1699,1.01,12,2,0.50,0,0,6,0
9874,3318,1.01,3,1,1.00,1,1,7,0
2614,902,1.03,13,4,0.80,1,0,3,0
3923,1338,1.02,3,1,1.00,0,0,9,0
7082,1406,0.60,16,14,2.33,1,1,12,1
3042,594,0.59,28,13,1.30,3,1,1,1
8557,2885,1.01,7,3,1.00,0,0,10,0
6806,1322,0.58,31,12,1.09,2,1,6,1
1432,492,1.03,11,3,0.75,0,0,2,0
2697,931,1.04,6,2,1.00,2,0,8,1
7011,2372,1.01,0,0,0.00,0,0,10,0
6402,2160,1.01,2,0,0.00,0,0,7,0
2612,507,0.58,28,10,1.00,2,1,1,1
775,281,1.08,10,2,0.50,0,0,5,0
370,162,1.31,6,2,1.00,0,0,4,1
7577,2561,1.01,7,3,1.00,0,0,1,0
9212,3096,1.01,13,5,1.00,0,0,1,1
7838,2628,1.01,7,1,0.33,1,0,9,0
7847,1532,0.59,26,9,1.00,2,0,5,0
8112,2718,1.01,12,4,1.00,0,0,9,0
8848,2974,1.01,6,2,1.00,2,0,12,0
300,36,0.36,52,24,1.33,2,1,7,1
3753,1264,1.01,7,1,0.33,0,0,3,0
2090,719,1.03,6,2,1.00,0,0,12,1
9047,3051,1.01,6,2,1.00,2,0,6,0
7785,2609,1.01,15,5,1.00,0,0,1,0
2578,477,0.55,16,13,2.17,3,1,4,1
502,208,1.24,15,3,0.60,0,0,11,1
7346,1425,0.58,47,23,1.44,3,1,6,1
5082,1712,1.01,11,3,0.75,0,0,11,0
5763,1950,1.02,5,2,1.00,0,0,10,0
3516,671,0.57,25,10,1.11,2,0,4,1
2851,552,0.58,49,19,1.12,3,1,6,1
8239,2772,1.01,3,1,1.00,1,0,8,0
8476,2841,1.01,10,4,1.00,1,0,8,0
9981,3361,1.01,7,3,1.00,2,0,12,0
4363,1467,1.01,1,0,0.00,2,0,3,1
6183,2096,1.02,9,3,1.00,2,0,1,0
2329,452,0.58,34,12,1.00,2,1,7,1
5875,1982,1.01,0,0,0.00,0,0,7,0
4714,906,0.58,32,18,1.64,1,1,7,1
9060,3054,1.01,8,3,1.00,0,0,11,0
6549,1298,0.59,13,10,2.00,1,1,5,1
4803,939,0.59,42,20,1.43,2,0,7,1
6397,2170,1.02,12,2,0.50,0,0,11,0
5186,1752,1.01,2,0,0.00,0,0,4,0
5463,1833,1.01,2,0,0.00,0,0,8,0
5804,1980,1.02,3,1,1.00,0,0,4,1
3941,1363,1.04,0,0,0.00,0,0,7,0
2575,902,1.05,2,0,0.00,1,0,1,0
7439,2502,1.01,7,1,0.33,0,0,2,0
7805,2644,1.02,9,2,0.67,1,1,6,0
7371,2478,1.01,5,2,1.00,0,0,8,0
2125,723,1.02,15,4,0.80,0,0,11,0
8808,2956,1.01,10,4,1.00,0,0,2,0
9190,3093,1.01,10,3,0.75,2,1,1,0
7881,1557,0.59,12,12,3.00,1,1,10,1
2601,914,1.05,13,3,0.60,2,0,5,0
2790,968,1.04,0,0,0.00,1,0,2,1
9690,3252,1.01,4,2,1.00,0,0,6,0
8297,2792,1.01,11,4,1.00,0,0,7,0
4996,1703,1.02,0,0,0.00,2,0,8,1
741,289,1.17,5,2,1.00,1,0,9,0
4707,1582,1.01,6,2,1.00,2,0,10,1
4524,1532,1.02,5,2,1.00,0,0,3,1
7286,1439,0.59,42,16,1.14,2,1,7,0
1657,590,1.07,1,0,0.00,0,0,6,0
2457,450,0.55,39,18,1.38,1,0,7,1
6528,2196,1.01,11,4,1.00,2,0,5,0
715,255,1.07,9,2,0.67,2,0,5,0
7717,1499,0.58,12,6,1.50,0,0,10,0
9375,3150,1.01,11,3,0.75,0,0,2,0
1568,568,1.09,15,3,0.60,1,0,2,0
6259,1230,0.59,53,22,1.22,3,0,6,1
9428,3193,1.02,11,4,1.00,0,0,12,1
4859,1665,1.03,0,0,0.00,2,0,7,0
7886,2676,1.02,11,4,1.00,2,0,12,0
1952,689,1.06,8,3,1.00,1,0,2,0
4745,1623,1.03,5,2,1.00,0,0,5,1
7924,1574,0.60,23,10,1.25,0,0,10,1
5551,1872,1.01,0,0,0.00,2,1,2,0
3301,1123,1.02,10,4,1.00,0,0,7,0
1282,466,1.09,5,2,1.00,0,0,2,0
4008,1385,1.04,2,0,0.00,1,0,1,1
9178,3094,1.01,14,4,0.80,0,0,8,0
2758,516,0.56,58,28,1.40,3,1,6,1
1195,217,0.54,48,17,1.06,1,1,7,1
8014,2693,1.01,7,1,0.33,0,0,4,0
1810,622,1.03,9,2,0.67,0,0,5,0
2303,786,1.02,13,5,1.00,0,0,7,0
9293,3126,1.01,15,3,0.60,0,0,12,1
4186,1413,1.01,4,2,1.00,2,1,9,1
5566,1874,1.01,10,4,1.00,2,0,8,0
3756,1284,1.03,5,2,1.00,0,0,4,0
5690,1126,0.59,51,18,1.06,1,1,6,1
5103,1739,1.02,2,0,0.00,1,0,7,0
2468,872,1.06,8,3,1.00,0,0,8,0
4090,1395,1.02,7,3,1.00,0,0,12,0
6641,2251,1.02,2,0,0.00,2,0,4,0
7056,2366,1.01,11,2,0.50,0,0,12,0
6379,2172,1.02,13,5,1.00,0,0,12,1
2647,913,1.03,8,3,1.00,2,0,1,1
1293,459,1.06,1,0,0.00,0,0,3,0
5855,1969,1.01,14,5,1.00,2,0,11,0
5120,1745,1.02,4,2,1.00,0,0,9,0
7686,2592,1.01,12,2,0.50,0,0,10,0
6993,2341,1.00,10,3,0.75,0,0,3,0
2522,478,0.57,34,21,1.75,1,1,6,1
3398,1161,1.02,11,3,0.75,2,1,6,0
7803,2645,1.02,11,2,0.50,0,0,3,0
3208,1112,1.04,12,4,1.00,1,0,11,0
6768,1325,0.59,28,18,1.80,1,1,6,0
6424,1279,0.60,41,21,1.50,1,1,7,0
2234,792,1.06,0,0,0.00,0,0,2,0
2330,825,1.06,15,5,1.00,1,0,11,0
3071,1039,1.01,0,0,0.00,0,0,10,0
5112,1720,1.01,3,1,1.00,0,0,1,0
7830,2633,1.01,14,3,0.60,0,0,2,0
1774,603,1.02,4,2,1.00,0,0,2,0
8803,1726,0.59,11,8,2.00,2,1,8,0
6474,1246,0.58,29,16,1.60,2,0,7,1
2756,959,1.04,1,0,0.00,2,0,2,0
9600,3212,1.00,11,2,0.50,0,0,3,0
3182,1086,1.02,6,2,1.00,0,0,5,0
5972,2011,1.01,3,1,1.00,2,1,9,0
583,67,0.34,25,9,1.00,2,1,7,1
1054,193,0.55,47,22,1.38,3,1,6,1
9756,3284,1.01,5,2,1.00,0,0,4,1
411,175,1.28,6,2,1.00,2,0,11,0
4832,1635,1.01,1,0,0.00,0,0,9,0
2778,947,1.02,9,3,1.00,0,0,10,0
1467,248,0.51,23,15,1.88,3,0,9,1
5444,1859,1.02,5,2,1.00,2,0,2,0
7988,2713,1.02,6,2,1.00,0,0,1,0
9569,3212,1.01,0,0,0.00,0,0,6,0
877,314,1.07,0,0,0.00,0,0,7,0
3024,1039,1.03,1,0,0.00,0,0,9,0
909,328,1.08,1,0,0.00,1,1,11,0
9314,3122,1.01,0,0,0.00,0,0,1,0
1406,269,0.57,25,12,1.33,1,1,7,1
7517,1485,0.59,44,18,1.20,1,1,7,1
5510,1078,0.59,50,18,1.06,1,1,7,1
5816,1152,0.59,53,22,1.22,3,1,6,1
1401,488,1.04,1,0,0.00,0,0,5,0
8337,2794,1.01,15,3,0.60,2,0,4,0
9769,3277,1.01,6,2,1.00,0,0,10,0
2414,825,1.02,14,4,0.80,2,0,4,0
7693,2595,1.01,1,0,0.00,0,0,12,0
3168,1094,1.04,7,1,0.33,0,0,12,0
5110,1747,1.03,15,3,0.60,2,0,11,0
2613,508,0.58,29,19,1.90,0,0,6,1
6779,1325,0.59,49,19,1.12,3,1,7,1
3075,1074,1.05,11,2,0.50,2,1,11,0
8267,2804,1.02,8,1,0.33,0,0,8,1
5918,2005,1.02,15,5,1.00,0,0,3,0
1834,644,1.05,0,0,0.00,0,0,11,0
9013,3019,1.00,2,0,0.00,1,0,10,0
7713,2620,1.02,3,1,1.00,0,0,2,1
3135,1056,1.01,0,0,0.00,0,0,7,0
6531,2190,1.01,13,5,1.00,0,0,7,0
8058,2723,1.01,8,3,1.00,0,0,9,1
4421,1508,1.02,11,4,1.00,0,0,11,0
8237,2787,1.01,6,2,1.00,2,1,1,0
5016,993,0.59,25,10,1.11,1,0,7,0
796,280,1.05,9,1,0.33,2,0,4,0
5972,2020,1.01,9,1,0.33,0,0,11,1
3019,1018,1.01,15,4,0.80,0,0,2,0
6475,2188,1.01,5,2,1.00,0,0,8,0
6758,2282,1.01,6,2,1.00,0,0,6,0
2903,562,0.58,39,18,1.38,3,1,6,0
526,98,0.56,31,11,1.00,3,0,6,1
5125,1721,1.01,5,2,1.00,1,1,4,0
6553,2228,1.02,4,2,1.00,2,0,12,0
5082,984,0.58,29,11,1.10,2,0,6,1
5709,1942,1.02,9,1,0.33,2,0,2,0
8052,1586,0.59,30,14,1.40,2,1,6,1
6413,2154,1.01,15,5,1.00,0,0,11,0
3360,1142,1.02,11,3,0.75,0,0,8,0
4732,1611,1.02,4,2,1.00,1,0,1,0
812,299,1.10,15,4,0.80,0,0,8,0
412,169,1.22,10,3,0.75,0,0,4,0
2347,794,1.01,6,2,1.00,1,0,2,0
2236,785,1.05,1,0,0.00,0,0,4,0
5517,1871,1.02,10,3,0.75,0,0,12,0
3925,1340,1.02,7,1,0.33,2,0,11,0
8834,2960,1.01,6,2,1.00,1,1,5,0
6998,1351,0.58,30,11,1.10,2,1,7,1
5850,1968,1.01,8,1,0.33,1,0,6,0
4029,1367,1.02,5,2,1.00,0,0,10,0
1342,494,1.10,2,0,0.00,2,0,12,0
3919,1338,1.02,1,0,0.00,1,0,9,1
3889,742,0.57,30,17,1.70,0,0,12,1
9020,1756,0.58,58,25,1.25,2,1,6,1
7525,2526,1.01,13,5,1.00,0,0,5,0
556,216,1.16,6,2,1.00,2,0,4,0
9866,1932,0.59,10,4,1.00,3,1,8,1
1082,382,1.06,6,2,1.00,0,0,10,0
5955,2004,1.01,3,1,1.00,1,1,5,0
4173,1401,1.01,7,2,0.67,0,0,4,0
3259,1118,1.03,0,0,0.00,0,0,2,0
5494,1071,0.58,31,14,1.27,2,1,6,1
1253,431,1.03,15,5,1.00,0,0,7,0
6336,1246,0.59,38,15,1.15,1,1,7,1
7380,1431,0.58,33,15,1.36,0,0,7,0
917,326,1.07,1,0,0.00,0,0,3,0
5672,1926,1.02,15,4,0.80,1,0,1,0
7871,1541,0.59,43,15,1.00,1,1,6,1
8508,2857,1.01,3,1,1.00,0,0,5,0
6709,2281,1.02,10,3,0.75,2,1,11,1
7804,2612,1.00,12,3,0.75,2,1,6,0
6690,2241,1.00,5,2,1.00,1,0,9,1
6531,1271,0.58,15,11,2.20,3,1,12,1
417,177,1.27,3,1,1.00,1,0,8,0
2155,754,1.05,14,3,0.60,0,0,10,0
2818,975,1.04,13,3,0.60,2,0,5,1
1830,649,1.06,8,2,0.67,0,0,11,0
581,205,1.06,3,1,1.00,1,0,4,0
1990,708,1.07,7,3,1.00,0,0,12,0
6364,2136,1.01,6,2,1.00,0,0,6,0
6983,2352,1.01,0,0,0.00,0,0,7,0
7228,2432,1.01,10,3,0.75,0,0,4,0
3818,1284,1.01,4,2,1.00,2,0,6,0
5261,1767,1.01,0,0,0.00,2,0,2,1
7327,2487,1.02,9,2,0.67,2,0,6,0
4770,1630,1.03,5,2,1.00,0,0,1,0
9095,3055,1.01,0,0,0.00,0,0,11,0
425,77,0.54,26,17,1.89,3,1,6,1
1985,702,1.06,3,1,1.00,1,0,7,0
6260,2124,1.02,3,1,1.00,0,0,3,0
5979,2015,1.01,11,2,0.50,0,0,3,0
5775,1968,1.02,0,0,0.00,0,0,3,0
6280,1215,0.58,26,15,1.67,2,0,6,0
1313,460,1.05,12,4,1.00,2,0,11,1
1133,423,1.12,1,0,0.00,2,0,9,0
5917,2013,1.02,12,3,0.75,0,0,9,0
2772,948,1.03,1,0,0.00,0,0,2,0
736,256,1.04,0,0,0.00,0,0,9,1
6291,2144,1.02,0,0,0.00,0,0,7,0
2369,836,1.06,0,0,0.00,0,0,11,0
